"SchoolCode","School","Address","maxOccupancy","totalSQFT","Latitude","Longitude","Ward","Feeder","Level","TotalExp9815","TotalAllot1621","LifetimeBudget","Agency","Total.Enrolled","Limited.English.Proficient","Level.1","Level.2","Level.3","Level.4","At_Risk","SPED","AtRiskPer","SPEDPer","SqFtPerEnroll","LTBudgetPerEnroll","LTBudgetPerSqFt","ESLPer"
"102 & 109","Cesar Chavez PCS for Public Policy - Parkside (Middle and High Schools)","3701 Hayes Street,  NE",834,66880,"38.90143803","-76.94906511","7",NA,"Elementary",NA,NA,NA,"PCS","303","8","19","19","3","1","204",42,0.673267326732673,0.138613861386139,220.726072607261,NA,NA,0.0264026402640264
"102 & 109","Cesar Chavez PCS for Public Policy - Parkside (Middle and High Schools)","3701 Hayes Street,  NE",834,66880,"38.90143803","-76.94906511","7",NA,"High",NA,NA,NA,"PCS","356","7","5","25","7","3","228",40,0.640449438202247,0.112359550561798,187.865168539326,NA,NA,0.0196629213483146
"116, 1122 &3071","KIPP DC - AIM Academy PCS, Discover Academy PCS, and Heights Academy PCS","2600 Douglass Place, SE",1900,144000,"38.85662232","-76.98804884","8",NA,"Middle",NA,NA,NA,"PCS","321","1","6","47","18","3","189",74,0.588785046728972,0.230529595015576,448.598130841121,NA,NA,0.00311526479750779
"1129, 190 & 121","KIPP DC - Grow Academy PCS, LEAD Academy PCS, and WILL Academy PCS","421 P Street, NW",1195,100671,"38.90988639","-77.01811734","6",NA,"Middle",NA,NA,NA,"PCS","344","3","13","33","12","8","138",66,0.401162790697674,0.191860465116279,292.648255813953,NA,NA,0.00872093023255814
"1118 & 125","Washington Latin PCS (Middle and Upper Schools)","5200 2nd Street, NW",835,64299,"38.95388895","-77.01381902","4",NA,"Middle",NA,NA,NA,"PCS","366","3","21","5","1","2","16",29,0.0437158469945355,0.0792349726775956,175.680327868852,NA,NA,0.00819672131147541
"189, 132 & 1121","KIPP DC - KEY Academy PCS, LEAP Academy PCS, and Promise Academy PCS","4801 Benning Road, SE",1608,84681,"38.88262754","-76.93439427","7",NA,"Elementary",NA,NA,NA,"PCS","304","0","13","5","1","0","177",19,0.582236842105263,0.0625,278.555921052632,NA,NA,0
"101 & 137","Maya Angelou PCS -Evans and Young Adult Learning Center*","5600 E Capitol Street, NE",646,125800,"38.89029144","-76.92063526","7",NA,"Elementary",NA,NA,NA,"PCS","147","0","2","11","2","2","1",17,0.00680272108843537,0.115646258503401,855.78231292517,NA,NA,0
"222 & 170","Paul PCS - International Middle and High Schools","5800 8th Street, NW",780,128000,"38.96136545","-77.02472307","4",NA,"Elementary",NA,NA,NA,"PCS","376","24","6","30","9","2","160",47,0.425531914893617,0.125,340.425531914894,NA,NA,0.0638297872340425
"1207,184 & 182","Capital City PCS (Lower, Middle, and High Schools)","100 Peabody Street, NW",1180,171100,"38.96216486","-77.01286745","4",NA,"Middle",NA,NA,NA,"PCS","320","38","6","32","12","6","111",56,0.346875,0.175,534.6875,NA,NA,0.11875
"1207,184 & 182","Capital City PCS (Lower, Middle, and High Schools)","100 Peabody Street, NW",1180,171100,"38.96216486","-77.01286745","4",NA,"Elementary",NA,NA,NA,"PCS","322","95","1","7","3","4","72",15,0.22360248447205,0.046583850931677,531.366459627329,NA,NA,0.295031055900621
