"Agency","School","SCHOOLCODE","Address","maxOccupancy","ProjectPhase","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","longitude","latitude","Ward","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerEnroll","SpentPerSqFt"
"DCPS","Stoddert Elementary School",321,"4001 Calvert St  NW","320","Full",2010,"ES",65200,"FULL MOD + ADD",18707417,0,18707417,-77.079073796,38.923044313,"3","Hardy MS","Wilson HS",418,72,18,15,0.0430622009569378,0.0358851674641148,0.172248803827751,155.980861244019,44754.5861244019,286.923573619632
"DCPS","Takoma Education Campus",324,"7010 Piney Branch Rd  NW","450","Full",2012,"ES/MS",118992,"FULL MOD",26979598,0,27036559,-77.022794928,38.975042541,"4","","Coolidge HS",442,113,189,70,0.427601809954751,0.158371040723982,0.255656108597285,269.212669683258,61039.814479638,226.734553583434
"DCPS","Thomas Elementary School",325,"650 Anacostia Ave NE","474","Phase I",2013,"ES",87600,"PARTIAL MOD",7563320,0,7572071,-76.952110911,38.901278637,"7","Kelly Miller MS","Woodson HS",408,6,295,44,0.723039215686274,0.107843137254902,0.0147058823529412,214.705882352941,18537.5490196078,86.3392694063927
"DCPS","Thomson Elementary School",326,"1200 L St  NW","320","Full",2006,"ES",74992,"FULL MOD + ADD",25521091,0,25521091,-77.028430033,38.903496003,"2","Jefferson Acad. MS","Eastern HS",272,141,124,40,0.455882352941176,0.147058823529412,0.518382352941177,275.705882352941,93827.5404411765,340.317513868146
"DCPS","Truesdell Education Campus",327,"800 Ingraham St  NW","542","Phase I",2010,"ES/MS",69600,"PARTIAL MOD",4465045,7489000,11954045,-77.025071576,38.953968357,"4","","Roosevelt HS",526,239,290,104,0.551330798479088,0.197718631178707,0.454372623574144,132.319391634981,8488.67870722434,64.1529454022989
"DCPS","Tubman Elementary School",328,"3101 13th St  NW","500","Phase I",2009,"ES",66592,"PARTIAL MOD",3644743,0,3644743,-77.029443298,38.929198235,"1","Col. Hts. EC (6-8)","Cardozo EC (9-12)",498,167,302,69,0.606425702811245,0.13855421686747,0.335341365461847,133.718875502008,7318.76104417671,54.7324453387794
"DCPS","Turner Elementary School",329,"3264 Stanton Rd SE","530","Full",2013,"ES",101093,"FULL MOD + ADD",27580545,0,27695424,-76.980309925,38.847634942,"8","Johnson MS","Ballou HS",392,0,333,52,0.849489795918367,0.13265306122449,0,257.890306122449,70358.5331632653,272.823489262362
"DCPS","Tyler Elementary School",330,"1001 G St  SE","564","Phase I",2010,"ES",69600,"PARTIAL MOD",3750929,0,3750929,-76.992041663,38.881084023,"6","Jefferson Acad. MS","Eastern HS",522,9,239,74,0.457854406130268,0.14176245210728,0.0172413793103448,133.333333333333,7185.6877394636,53.892658045977
"DCPS","Walker-Jones Education Campus",332,"1125 New Jersey Ave NW","700","Full",2009,"ES/MS",95000,"FULL REPLACEMENT",40442253,0,40442253,-77.01391586,38.904191757,"6","","Dunbar HS",465,8,348,124,0.748387096774194,0.266666666666667,0.0172043010752688,204.301075268817,86972.5870967742,425.707926315789
"DCPS","Watkins Elementary School",333,"420 12th St  SE","587","Phase 0",NA,"ES",69296,"STABILIZED",2675972,30313978,39400200,-76.989996769,38.883466674,"6","Stuart-Hobson MS","Eastern HS",500,4,98,45,0.196,0.09,0.008,138.592,5351.944,38.6165435234357
"DCPS","Wheatley Education Campus",335,"1299 Neal St NE","500","Full",2009,"ES/MS",86368,"FULL MOD + ADD",42645563,0,42645768,-76.988500771,38.90411741,"5","","Dunbar HS",463,7,364,91,0.786177105831533,0.196544276457883,0.0151187904967603,186.539956803456,92107.0475161987,493.765781307892
"DCPS","Whittier Education Campus",338,"6201 5th St  NW","520","Phase I",2013,"ES/MS",71092,"PARTIAL MOD + ADD",5208611,0,5241031,-77.019238602,38.965856939,"4","","Coolidge HS",350,38,214,74,0.611428571428571,0.211428571428571,0.108571428571429,203.12,14881.7457142857,73.265782366511
"DCPS","Hearst Elementary School",258,"3950 37th St  NW","330","Full",2015,"ES",62309,"FULL MOD + ADD",35678706,361277,43433519,-77.071955219,38.940722313,"3","Deal MS","Wilson HS",291,28,39,25,0.134020618556701,0.0859106529209622,0.0962199312714777,214.120274914089,122607.237113402,572.609189683673
"DCPS","West Education Campus",336,"1338 Farragut St  NW","278","Phase 0",NA,"ES/MS",69642,"STABILIZED",0,35095000,35095000,-77.032253056,38.95136708,"4","","Roosevelt HS",267,27,112,44,0.419475655430712,0.164794007490637,0.101123595505618,260.831460674157,0,0
"DCPS","Van Ness ES",331,NA,NA,"Full",2016,"ES",49400,"FULL MOD + ADD",10556642,17995000,32448396,-76.99914,38.87675,"6","Jefferson Acad. MS","Eastern HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,213.697206477733
"DCPS","Amidon-Bowen Elementary School",203,"401 Eye St  SW","400","Phase I",2012,"ES",70800,"PARTIAL MOD",5993305,0,5993305,-77.018125299,38.879515067,"6","Jefferson Acad. MS","Eastern HS",345,6,254,90,0.736231884057971,0.260869565217391,0.0173913043478261,205.217391304348,17371.8985507246,84.6512005649717
"DCPS","Anacostia High School",450,"1601 16th St  SE","837","Full",2012,"HS",204992,"FULL MOD",68228069,0,68860993,-76.983077254,38.870083725,"8","","",661,0,586,186,0.886535552193646,0.281391830559758,0,310.124054462935,103219.468986384,332.83283737902
"DCPS","Coolidge High School",455,"6315 5th St  NW","1105","Phase 0",NA,"HS",271300,"STABILIZED",2537691,116633000,122176717,-77.019578251,38.967284215,"4","","",395,50,301,104,0.762025316455696,0.263291139240506,0.126582278481013,686.835443037975,6424.53417721519,9.35381865093992
"DCPS","Deal Middle School",405,"3815 Fort Dr  NW","1370","Full",2014,"MS",223689,"FULL MOD + ADD",73524856,0,74154641,-77.075199068,38.952896407,"3","","Wilson HS",1312,47,99,166,0.0754573170731707,0.126524390243902,0.0358231707317073,170.494664634146,56040.2865853659,328.692318352713
"DCPS","Eastern High School",457,"1700 East Capitol St NE","1100","Full",2010,"HS",310721,"FULL MOD",74502874,0,74503071,-76.979684293,38.890402328,"6","","",1025,3,714,296,0.696585365853658,0.288780487804878,0.00292682926829268,303.14243902439,72685.7307317073,239.774183270522
"DCPS","Eliot-Hine Middle School",407,"1830 Constitution Ave  NE","742","Phase 0",NA,"MS",155072,"STABILIZED",210957,40911043,42653975,-76.978977919,38.892431159,"6","","Eastern HS",257,2,161,63,0.626459143968872,0.245136186770428,0.00778210116731518,603.392996108949,820.844357976654,1.36038098431696
"DCPS","Ellington School of the Arts",471,"2501 11th St NW",NA,"Full",2017,"HS",167500,"FULL MOD + ADD",34081441,61688778,180437856,-77.070307568,38.913446043,"2","","",523,5,175,25,0.334608030592734,0.0478011472275335,0.00956022944550669,320.267686424474,65165.2791586998,203.471289552239
"DCPS","Francis-Stevens Education Campus",409,"2425 N St  NW","437","Phase 0",NA,"ES/MS",95088,"STABILIZED",1314689,20178000,22278000,-77.052320997,38.907469168,"2","","Cardozo EC (9-12)",414,25,109,58,0.263285024154589,0.140096618357488,0.0603864734299517,229.68115942029,3175.57729468599,13.8260243143194
"DCPS","H.D. Cooke Elementary School",227,"2525 17th St NW","440","Full",2009,"ES",85696,"FULL MOD + ADD",32500688,0,32500688,-77.038810584,38.923942751,"1","CHEC (6-8)","Cardozo EC (9-12)",400,164,215,42,0.5375,0.105,0.41,214.24,81251.72,379.255601194922
"DCPS","Hardy Middle School",246,"1819 35th St  NW","485","Full",2008,"MS",107200,"FULL MOD + ADD",50758871,0,50758871,-77.068613896,38.915508698,"2","","Wilson HS",386,18,96,62,0.248704663212435,0.160621761658031,0.0466321243523316,277.720207253886,131499.665803109,473.496930970149
"DCPS","Hart Middle School",413,"601 Mississippi Ave  SE","912","Phase I",2011,"MS",210700,"PARTIAL MOD",13075759,0,13214760,-76.997178747,38.837737537,"8",NA,"Ballou HS",479,0,393,128,0.820459290187891,0.267223382045929,0,439.874739039666,27298.0354906054,62.0586568580921
"DCPS","Jefferson Middle School",433,"801 7th St SW","570","Phase 0",NA,"MS",108992,"STABILIZED",0,35993000,35993000,-77.02291066,38.879870599,"6","","Eastern HS",277,3,179,67,0.646209386281588,0.24187725631769,0.0108303249097473,393.472924187726,0,0
