"MajorExp9815","YearsOpen","Open","Open.Now","School","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","Level","Address","maxOccupancy","totalSQFT","unqBuilding","longitude","latitude","Ward","TotalAllotandPlan1621","LifetimeBudget","FeederMS","FeederHS","ProjectPhase","YrComplete","ProjectType","Agency","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerMaxOccupancy","SpentPerSqFt","AnnualExpenseAverage","AnnualSpentPerMaxOccupany","AnnualSpentPerSqFt"
3405436,10,2006,1,"Bridges PCS",272,102,93,77,"ES","1244 Taylor Street. NW",534,20676,0,-77.0283582,38.9407171,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.341911764705882,0.283088235294118,0.375,76.0147058823529,6377.22097378277,164.704778487135,340543.6,637.722097378277,16.4704778487135
3405436,10,2006,1,"Bridges PCS",272,102,93,77,"ES","1250 Taylor Street, NW",534,20676,0,-77.0285894,38.9405054,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.341911764705882,0.283088235294118,0.375,76.0147058823529,6377.22097378277,164.704778487135,340543.6,637.722097378277,16.4704778487135
3405436,10,2006,1,"Bridges PCS",272,102,93,77,"ES","4300 13th Street NW
",534,20676,0,-77.03121,38.94344,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.341911764705882,0.283088235294118,0.375,76.0147058823529,6377.22097378277,164.704778487135,340543.6,637.722097378277,16.4704778487135
8206459,9,2007,1,"Briya Public Charter School",492,50,20,5,"ADULT","1755 Newton Street, NW",663,26940,0,-77.0405163,38.9347901,"1",NA,NA,NA,NA,NA,NA,NA,"PCS",0.040650406504065,0.0101626016260163,0.101626016260163,54.7560975609756,12377.766214178,304.619858945806,911828.777777778,1375.30735713089,33.8466509939784
8206459,9,2007,1,"Briya Public Charter School",492,50,20,5,"ADULT","2333 Ontario Road, NW (Main Office)",663,26940,0,-77.0368707,38.9071923,"2",NA,NA,NA,NA,NA,NA,NA,"PCS",0.040650406504065,0.0101626016260163,0.101626016260163,54.7560975609756,12377.766214178,304.619858945806,911828.777777778,1375.30735713089,33.8466509939784
8206459,9,2007,1,"Briya Public Charter School",492,50,20,5,"ADULT","3912 Georgia Avenue, NW",663,26940,0,-77.0250314,38.9391892,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.040650406504065,0.0101626016260163,0.101626016260163,54.7560975609756,12377.766214178,304.619858945806,911828.777777778,1375.30735713089,33.8466509939784
5546488,6,2010,1,"Capital City High School PCS",329,50,148,60,"HS","102 Peabody Street, NW",NA,57033,1,-77.0113808,38.9626905,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.449848024316109,0.182370820668693,0.151975683890578,173.352583586626,NA,97.2505040941209,924414.666666667,NA,16.2084173490202
5829980,7,2009,1,"Capital City Lower PCS",322,95,72,15,"ES","100 Peabody Street, NW",1180,57033,1,-77.0126091,38.9623344,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.22360248447205,0.046583850931677,0.295031055900621,177.121118012422,4940.66101694915,102.221170199709,832854.285714286,705.808716707022,14.6030243142441
3252992,4,2009,1,"Capital City Middle School",320,38,111,56,"MS","101 Peabody Street, NW",NA,57033,1,-77.0110697,38.9627222,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.346875,0.175,0.11875,178.228125,NA,57.037013658759,813248,NA,14.2592534146897
57276227,17,1999,1,"Carlos Rosario International PCS Harvard Street Campus",1973,113,0,0,"ADULT","514 V Street, NE",1614,132000,0,-76.9986344,38.9183706,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0,0,0.05727318803852,66.9031931069437,35487.1294919455,433.910810606061,3369189.82352941,2087.47820540856,25.5241653297683
