"Agency","School","Address","maxOccupancy","ProjectPhase","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","unqBuilding","longitude","latitude","Ward","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerMaxOccupancy","SpentPerSqFt","YearsOpen","Open","Open.Now","AnnualExpenseAverage","AnnualSpentPerMaxOccupany","AnnualSpentPerSqFt"
"DCPS","Bruce-Monroe ES @ Park View","3560 Warder St  NW",609,"Phase I",2012,"ES",82192,"PARTIAL MOD",11264300,0,17026865,1,-77.021185666,38.934413761,1,"CHEC (6-8)","Cardozo EC (9-12)",NA,NA,NA,NA,NA,NA,NA,NA,18496.3875205255,137.048617870352,NA,NA,1,NA,NA,NA
"DCPS","Hearst ES","3950 37th St  NW",330,"Full",2015,"ES",62309,"FULL MOD + ADD",35678706,361277,43433519,1,-77.071955219,38.940722313,3,"Deal MS","Wilson HS",291,28,39,25,0.134020618556701,0.0859106529209622,0.0962199312714777,214.120274914089,108117.290909091,572.609189683673,NA,NA,1,NA,NA,NA
"DCPS","West EC","1338 Farragut St  NW",278,"Phase 0",NA,"ES/MS",69642,"STABILIZED",0,35095000,35095000,1,-77.032253056,38.95136708,4,"","Roosevelt HS",267,27,112,44,0.419475655430712,0.164794007490637,0.101123595505618,260.831460674157,0,0,NA,NA,1,NA,NA,NA
"DCPS","Van Ness ES",NA,NA,"Full",2016,"ES",49400,"FULL MOD + ADD",10556642,17995000,32448396,1,-76.99914,38.87675,6,NA,"Eastern HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,213.697206477733,NA,NA,1,NA,NA,NA
"DCPS","Amidon-Bowen ES","401 Eye St  SW",400,"Phase I",2012,"ES",70800,"PARTIAL MOD",5993305,0,5993305,1,-77.018125299,38.879515067,6,"Jefferson Acad. MS","Eastern HS",345,6,254,90,0.736231884057971,0.260869565217391,0.0173913043478261,205.217391304348,14983.2625,84.6512005649717,NA,NA,1,NA,NA,NA
"DCPS","Anacostia HS","1601 16th St  SE",837,"Full",2012,"HS",204992,"FULL MOD",68228069,0,68860993,1,-76.983077254,38.870083725,8,"","",661,0,586,186,0.886535552193646,0.281391830559758,0,310.124054462935,81515.0167264038,332.83283737902,NA,NA,1,NA,NA,NA
"DCPS","Coolidge HS","6315 5th St  NW",1105,"Phase 0",NA,"HS",271300,"STABILIZED",2537691,116633000,122176717,1,-77.019578251,38.967284215,4,"","",395,50,301,104,0.762025316455696,0.263291139240506,0.126582278481013,686.835443037975,2296.55294117647,9.35381865093992,NA,NA,1,NA,NA,NA
"DCPS","Deal MS","3815 Fort Dr  NW",1370,"Full",2014,"MS",223689,"FULL MOD + ADD",73524856,0,74154641,1,-77.075199068,38.952896407,3,"","Wilson HS",1312,47,99,166,0.0754573170731707,0.126524390243902,0.0358231707317073,170.494664634146,53667.7781021898,328.692318352713,NA,NA,1,NA,NA,NA
"DCPS","Eastern HS","1700 East Capitol St NE",1100,"Full",2010,"HS",310721,"FULL MOD",74502874,0,74503071,1,-76.979684293,38.890402328,6,"","",1025,3,714,296,0.696585365853658,0.288780487804878,0.00292682926829268,303.14243902439,67729.8854545455,239.774183270522,NA,NA,1,NA,NA,NA
"DCPS","Eliot-Hine MS","1830 Constitution Ave  NE",742,"Phase 0",NA,"MS",155072,"STABILIZED",210957,40911043,42653975,1,-76.978977919,38.892431159,6,"","Eastern HS",257,2,161,63,0.626459143968872,0.245136186770428,0.00778210116731518,603.392996108949,284.308625336927,1.36038098431696,NA,NA,1,NA,NA,NA
"DCPS","Ellington School of the Arts","2501 11th St NW",NA,"Full",2017,"HS",167500,"FULL MOD + ADD",34081441,61688778,180437856,1,-77.070307568,38.913446043,2,"","",523,5,175,25,0.334608030592734,0.0478011472275335,0.00956022944550669,320.267686424474,NA,203.471289552239,NA,NA,1,NA,NA,NA
"DCPS","School Without Walls @ Francis-Stevens EC","2425 N St  NW",437,"Phase 0",NA,"ES/MS",95088,"STABILIZED",1314689,20178000,22278000,1,-77.052320997,38.907469168,2,"","Cardozo EC (9-12)",414,25,109,58,0.263285024154589,0.140096618357488,0.0603864734299517,229.68115942029,3008.44164759725,13.8260243143194,NA,NA,1,NA,NA,NA
