Sector,LEA ID,LEA Name,School ID,School Name,Total Enrolled,PK3,PK4,KG,01,02,03,04,05,06,07,08,09,10,11,12,Adult,Alternative,SPED Program,Limited English Proficient,Level 1,Level 2,Level 3,Level 4,At_Risk
DCPS,001,District of Columbia Public Schools,246,Hardy MS,386,0,0,0,0,0,0,0,0,130,119,137,0,0,0,0,0,0,0,18,27,16,3,11,96
DCPS,001,District of Columbia Public Schools,247,C W  Harris ES,291,13,39,41,44,53,46,32,23,0,0,0,0,0,0,0,0,0,0,2,25,6,3,29,229
Charters,181,District of Columbia International School,248,District of Columbia International School,210,0,0,0,0,0,0,0,0,118,92,0,0,0,0,0,0,0,0,26,8,18,13,1,44
DCPS,001,District of Columbia Public Schools,249,Hendley ES,503,23,33,91,78,67,78,67,66,0,0,0,0,0,0,0,0,0,0,0,37,23,1,3,453
DCPS,001,District of Columbia Public Schools,251,Houston ES,279,24,30,43,45,38,42,20,37,0,0,0,0,0,0,0,0,0,0,3,13,12,3,13,209
DCPS,001,District of Columbia Public Schools,252,Hyde Addison ES,305,0,21,43,44,53,58,54,32,0,0,0,0,0,0,0,0,0,0,29,12,6,1,3,24
DCPS,001,District of Columbia Public Schools,254,Janney ES,693,0,80,123,105,117,91,98,79,0,0,0,0,0,0,0,0,0,0,30,35,1,1,3,8
DCPS,001,District of Columbia Public Schools,257,Ketcham ES,309,30,38,46,53,48,38,21,35,0,0,0,0,0,0,0,0,0,0,0,26,4,3,0,265
DCPS,001,District of Columbia Public Schools,258,Hearst ES,291,0,41,44,46,41,47,36,36,0,0,0,0,0,0,0,0,0,0,28,16,3,3,9,39
DCPS,001,District of Columbia Public Schools,259,Kimball ES,348,29,40,46,51,46,42,49,45,0,0,0,0,0,0,0,0,0,0,0,24,10,4,1,268
DCPS,001,District of Columbia Public Schools,261,Lafayette ES,697,0,77,110,99,94,105,113,99,0,0,0,0,0,0,0,0,0,0,21,28,9,1,2,19
DCPS,001,District of Columbia Public Schools,262,Langdon EC,340,21,35,38,36,44,38,27,20,25,27,29,0,0,0,0,0,0,0,17,23,15,3,0,191
DCPS,001,District of Columbia Public Schools,264,LaSalle Backus EC,349,23,29,28,32,32,38,30,26,38,35,38,0,0,0,0,0,0,0,106,27,9,5,25,183
DCPS,001,District of Columbia Public Schools,265,Mamie D Lee School,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,4,0,0,0,56,29
DCPS,001,District of Columbia Public Schools,266,Leckie ES,478,45,57,78,75,67,58,52,46,0,0,0,0,0,0,0,0,0,0,8,30,9,5,2,226
DCPS,001,District of Columbia Public Schools,271,Ludlow Taylor ES,340,54,45,52,50,38,47,26,28,0,0,0,0,0,0,0,0,0,0,3,22,2,5,27,109
DCPS,001,District of Columbia Public Schools,272,Key ES,383,1,39,64,65,60,61,56,37,0,0,0,0,0,0,0,0,0,0,28,16,5,1,0,12
DCPS,001,District of Columbia Public Schools,273,Mann ES,302,0,39,54,61,46,41,43,18,0,0,0,0,0,0,0,0,0,0,34,10,1,0,2,4
DCPS,001,District of Columbia Public Schools,274,Maury ES,366,38,47,55,50,57,42,53,24,0,0,0,0,0,0,0,0,0,0,2,19,2,0,1,48
DCPS,001,District of Columbia Public Schools,280,Miner ES,398,57,44,65,53,58,44,46,31,0,0,0,0,0,0,0,0,0,0,7,19,22,3,19,296
DCPS,001,District of Columbia Public Schools,284,Marie Reed ES,393,48,57,56,62,42,51,52,25,0,0,0,0,0,0,0,0,0,0,189,33,4,0,0,143
DCPS,001,District of Columbia Public Schools,285,Moten ES,395,42,42,57,64,55,49,48,38,0,0,0,0,0,0,0,0,0,0,0,30,17,1,6,348
DCPS,001,District of Columbia Public Schools,287,Murch ES,620,0,62,93,95,102,89,95,84,0,0,0,0,0,0,0,0,0,0,56,17,3,0,2,18
DCPS,001,District of Columbia Public Schools,288,Nalle ES,384,49,60,40,51,59,38,44,43,0,0,0,0,0,0,0,0,0,0,6,21,11,2,2,295
DCPS,001,District of Columbia Public Schools,290,Noyes EC,289,16,23,38,31,21,30,31,28,25,24,22,0,0,0,0,0,0,0,11,20,9,6,34,182
DCPS,001,District of Columbia Public Schools,291,Orr ES,384,46,60,46,56,55,41,45,35,0,0,0,0,0,0,0,0,0,0,2,38,8,0,0,295
DCPS,001,District of Columbia Public Schools,292,Oyster Adams Bilingual School (Oyster),650,7,39,68,76,73,73,73,64,62,51,64,0,0,0,0,0,0,0,84,23,27,5,12,54
DCPS,001,District of Columbia Public Schools,294,Patterson ES,380,30,46,64,43,70,51,38,38,0,0,0,0,0,0,0,0,0,0,1,21,10,3,26,323
DCPS,001,District of Columbia Public Schools,295,Payne ES,277,39,35,38,39,38,30,37,21,0,0,0,0,0,0,0,0,0,0,5,13,8,1,20,165
DCPS,001,District of Columbia Public Schools,296,Bruce Monroe ES at Park View,465,46,53,68,66,72,61,59,40,0,0,0,0,0,0,0,0,0,0,290,46,5,0,1,235
DCPS,001,District of Columbia Public Schools,299,Plummer ES,428,31,40,62,70,74,46,56,49,0,0,0,0,0,0,0,0,0,0,24,27,13,1,18,354
DCPS,001,District of Columbia Public Schools,300,Powell ES,446,32,55,70,67,72,65,53,32,0,0,0,0,0,0,0,0,0,0,250,45,5,2,0,202
DCPS,001,District of Columbia Public Schools,301,Peabody ES (Capitol Hill Cluster),227,61,80,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,16
DCPS,001,District of Columbia Public Schools,302,Raymond EC,581,47,60,63,66,65,65,32,43,47,40,53,0,0,0,0,0,0,0,245,76,9,2,1,308
DCPS,001,District of Columbia Public Schools,305,Ross ES,166,16,21,25,26,24,22,20,12,0,0,0,0,0,0,0,0,0,0,28,5,0,0,0,10
DCPS,001,District of Columbia Public Schools,307,Savoy ES,408,27,35,53,73,65,52,46,57,0,0,0,0,0,0,0,0,0,0,4,24,13,1,1,333
DCPS,001,District of Columbia Public Schools,308,Malcolm X ES at Green,244,31,34,38,29,31,28,21,32,0,0,0,0,0,0,0,0,0,0,0,24,1,5,4,207
DCPS,001,District of Columbia Public Schools,309,Seaton ES,295,45,48,42,43,32,30,30,25,0,0,0,0,0,0,0,0,0,0,125,13,9,1,22,148
DCPS,001,District of Columbia Public Schools,312,Sharpe Health School,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,7,3,0,0,57,31
DCPS,001,District of Columbia Public Schools,313,Shepherd ES,318,0,51,42,47,41,46,49,42,0,0,0,0,0,0,0,0,0,0,6,14,12,1,1,59
DCPS,001,District of Columbia Public Schools,315,Simon ES,293,22,28,46,42,38,38,50,29,0,0,0,0,0,0,0,0,0,0,2,22,7,2,1,227
DCPS,001,District of Columbia Public Schools,316,Randle Highlands ES,360,31,51,49,46,63,37,47,36,0,0,0,0,0,0,0,0,0,0,3,45,2,0,0,228
DCPS,001,District of Columbia Public Schools,319,Stanton ES,578,31,56,71,96,85,74,76,89,0,0,0,0,0,0,0,0,0,0,0,57,17,3,0,502
DCPS,001,District of Columbia Public Schools,321,Stoddert ES,418,0,39,80,76,79,62,60,22,0,0,0,0,0,0,0,0,0,0,72,13,1,0,0,18
DCPS,001,District of Columbia Public Schools,322,Smothers ES,275,32,36,39,42,38,26,39,23,0,0,0,0,0,0,0,0,0,0,6,16,7,0,15,203
DCPS,001,District of Columbia Public Schools,324,Takoma EC,442,30,42,50,46,59,33,39,28,41,41,33,0,0,0,0,0,0,0,113,25,20,5,27,189
DCPS,001,District of Columbia Public Schools,325,Thomas ES,408,41,49,58,58,61,53,56,32,0,0,0,0,0,0,0,0,0,0,6,28,8,0,21,295
DCPS,001,District of Columbia Public Schools,326,Thomson ES,272,26,34,34,39,40,39,32,28,0,0,0,0,0,0,0,0,0,0,141,34,3,0,0,124
DCPS,001,District of Columbia Public Schools,327,Truesdell EC,526,34,48,69,64,59,60,31,34,54,26,47,0,0,0,0,0,0,0,239,62,21,0,4,290
DCPS,001,District of Columbia Public Schools,328,Tubman ES,498,33,40,73,96,80,66,64,46,0,0,0,0,0,0,0,0,0,0,167,39,14,2,19,302
DCPS,001,District of Columbia Public Schools,329,Turner ES,392,38,51,58,54,60,40,45,46,0,0,0,0,0,0,0,0,0,0,0,16,16,4,0,333
DCPS,001,District of Columbia Public Schools,330,Tyler ES,522,57,74,75,79,94,56,51,36,0,0,0,0,0,0,0,0,0,0,9,36,15,8,23,239
DCPS,001,District of Columbia Public Schools,332,Walker Jones EC,465,42,42,49,63,54,36,36,28,35,34,46,0,0,0,0,0,0,0,8,41,37,9,19,348
DCPS,001,District of Columbia Public Schools,333,Watkins ES Capitol Hill Cluster,500,0,0,0,88,105,92,121,94,0,0,0,0,0,0,0,0,0,0,4,26,9,1,2,98
DCPS,001,District of Columbia Public Schools,335,Wheatley EC,463,31,38,47,53,50,48,42,31,37,42,44,0,0,0,0,0,0,0,7,36,24,7,1,364
DCPS,001,District of Columbia Public Schools,336,West EC,267,30,32,37,23,26,21,14,20,19,26,19,0,0,0,0,0,0,0,27,24,10,0,0,112
DCPS,001,District of Columbia Public Schools,338,Whittier EC,350,27,28,33,38,31,33,43,25,33,22,37,0,0,0,0,0,0,0,38,29,22,1,23,214
DCPS,001,District of Columbia Public Schools,339,J O Wilson ES,466,52,63,66,64,65,60,63,33,0,0,0,0,0,0,0,0,0,0,6,27,9,2,25,232
DCPS,001,District of Columbia Public Schools,344,"King, M L ES",372,27,44,55,49,57,51,47,42,0,0,0,0,0,0,0,0,0,0,2,16,19,1,1,327
DCPS,001,District of Columbia Public Schools,346,Brookland EC at Bunker Hill,225,11,19,24,20,16,28,14,23,25,22,23,0,0,0,0,0,0,0,8,15,11,1,2,108
DCPS,001,District of Columbia Public Schools,360,Capitol Hill Montessori School at Logan,310,60,56,44,41,45,17,21,9,4,13,0,0,0,0,0,0,0,0,3,11,0,0,0,25
Charters,120,Friendship PCS,361,Friendship PCS Blow Pierce Elementary,379,57,66,77,69,68,42,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,0,1,289
Charters,120,Friendship PCS,362,Friendship PCS Blow-Pierce Middle,213,0,0,0,0,0,0,42,25,43,40,63,0,0,0,0,0,0,0,1,9,20,3,10,147
