Facility Name,Facility ID,ES Feeder,MS Feeder,HS Feeder,Address Line 1,Address Line 2,City,State,Zip Code,Year Built,Age,Building Sq Footage,Acres,Site Sq Footage,FacilityTypeCode,KeyID,Building Zoning,"School Additions, Modernization",General Comments,Enrollment Capacity,Percent Utilized 2008-2009,Grade Start,Grade End,Building Type,FacilityType
MURCH,287,,Deal MS,Wilson HS,"4810 36th Street, N.W.",,WASHINGTON,DC,20008-4900,1929,81,47700,2.61,113814,ELEM,MURCX0702,R-1-B,1931,,479,102,PreK,5th,Active School,SCHOOL
OYSTER-ADAMS BILINGUAL SCHOOL OYSTER CAMPUS,292,,Oyster-Adams PS-8,Wilson HS,"2801 Calvert Street, N.W.",,WASHINGTON,DC,20001,1926,84,47984,0.79,34412,ELEM,OYSTX0707,R-5-B,N/A,,350,97,PreK,3rd,Active School,SCHOOL
"HARDY (ROSARIO, GORDON)",411,,,Wilson HS,"1819 35th Street, N.W.",,WASHINGTON,DC,20007-2211,1928,82,107200,3.43,149605,MS,ROSAX0728,R-3,"1931, Complete Modernization 2008-09",,550,57,6th,8th,Active School,SCHOOL
SHEPHERD,313,,Hardy MS,Wilson HS,"7800 14th Street, N.W.",,WASHINGTON,DC,20012-1490,1932,78,79700,4.52,196900,ELEM,SHEPX0737,R-1-B,"1938, 1956, 1970",,332,106,PreK,5th,Active School,SCHOOL
STODDERT,321,,Hardy MS,Wilson HS,"4001 Calvert Street, N.W.",,WASHINGTON,DC,20007-1602,1932,78,17400,6.52,283818,ELEM,STODX0746,R-5-A,1993,,213,138,PreK,5th,Active School,SCHOOL
SCHOOL WITHOUT WALLS,243,,,,"2130 G St. , NW",,WASHINGTON,DC,20037-2748,1882,128,68000,0.68,29681,SHS,WALLX0763,R-5-B,completely modernized with an addition 2009,,470,88,9th,12th,Active School,SCHOOL
AITON,202,,Kelly Miller MS,Woodson HS,"533 48th Place, N.E.",,WASHINGTON,DC,20019-4797,1960,50,57100,3.9,169771,ELEM,AITOX0585,R-2,N/A,,479,68,PreS,5th,Active School,SCHOOL
BURRVILLE,221,,Kelly Miller MS,Woodson HS,"801 Division Avenue, N.E.",,WASHINGTON,DC,,1980,30,95000,1.61,70000,ELEM,BURRX0610,R-2,N/A,,322,107,PreS,5th,Active School,SCHOOL
DREW,231,,Kelly Miller MS,Woodson HS,"5600 Eads Street, S.E.",,WASHINGTON,DC,20019-6900,1959,51,72800,2.31,100800,ELEM,DREWX0627,R-2,N/A,,435,48,PreS,5th,Active School,SCHOOL
"HARRIS, C.W.",247,,Kelly Miller MS,Woodson HS,"301 53rd Street, S.E.",,WASHINGTON,DC,20019-6373,1964,46,56000,3.16,137536,ELEM,HARRX0653,R-5-A,N/A,,461,47,PreS,5th,Active School,SCHOOL
HOUSTON,251,,Kelly Miller MS,Woodson HS,"1100 50th Place, N.E.",,WASHINGTON,DC,20019-4097,1962,48,59900,4.72,205700,ELEM,HOUSX0661,R-2,N/A,,507,53,PreS,5th,Active School,SCHOOL
"WILSON, W.",463,,,,"3950 Chesapeake Street, N.W.",,WASHINGTON,DC,20016-1855,1935,75,271300,10.44,454920,SHS,WILSX0775,R-1-B,1971,,1485,98,9th,12th,Active School,SCHOOL
"WOODSON, H.D. ",464,,,,CLOSED,"5500 Eads Street, N.E.",WASHINGTON,DC,20019-6782,1973,37,251100,15.23,663356,DEMO,WOODX0779,R-2,N/A,,1535,0,12-Sep,,Demolished,Demolished
Multi Schools,999,,,,DCPS,District of Columbia Public Schools,WASHINGTON,DC,,,0,16808000,0,0,ADMIN,MULTX0798,,,,0,0,,,Main,
NALLE,288,,Kelly Miller MS,Woodson HS,"219 50th Street, S.E.",,WASHINGTON,DC,20019-7606,1950,60,83900,6.52,284000,ELEM,NALLX0703,R-5-A,"1960, 1969",,460,80,PreS,5th,Active School,SCHOOL
SMOTHERS,322,,Kelly Miller MS,Woodson HS,"4400 Brooks Street, N.E.",,WASHINGTON,DC,20019-4605,1923,87,43000,1.65,71811,ELEM,SMOTX0741,R-2,"1927, 1939",,332,68,PreS,5th,Active School,SCHOOL
THOMAS,325,,Kelly Miller MS,Woodson HS,"650 Anacostia Avenue, N.E.",,WASHINGTON,DC,20019-1596,1946,64,87600,2.31,100549,ELEM,THOMX0754,R-5-A,"1967, 1973",,636,37,PreS,5th,Active School,SCHOOL
