School_ID,Agency,Address,maxOccupancy,Level,totalSQFT,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget,FeederMS,Total_Enrolled,Limited_English,At_Risk,SPED,AtRiskPer,SPEDPer,ESLPer,SqFtPerEnroll,SpentPerMaxOccupancy,SpentPerSqFt,Open_Now,ProjectPhase,YrComplete,ProjectType,FeederHS,longitude,latitude,Ward,School
301,DCPS,425 C St  NE,228,PK3-K,37800,7028816,0,7099258,Stuart-Hobson MS,227,4,16,10,0.070484581,0.044052863,0.017621145,167,30828.14035,185.9475132,1,Phase I,2013,Partial Modernization,Eastern HS,-76.9998748,38.8928043,6,Peabody Elementary
478,DCPS,704 26th Street NE,512,HS,146976,66594065,0,NA,,323,9,166,42,0.513931889,0.13003096,0.027863777,455,130066.5332,453.094825,1,Full,2008,Full Modernization,City-Wide,-76.9721088,38.9020565,5,Phelps ACE High
299,DCPS,4601 Texas Ave  SE,448,ES,69392,13846933,26191,14299544,Sousa MS,428,24,354,54,0.827102804,0.126168224,0.056074766,162,30908.33259,199.5465327,1,Phase I,2014,Partial Modernization,Anacostia HS,-76.9396434,38.88707,7,Plummer Elementary
300,DCPS,1350 Upshur St  NW,304,ES,76848,25490976,2504026,44744174,Col. Hts. EC (6-8),446,250,202,57,0.452914798,0.127802691,0.560538117,172,83851.89474,331.7064335,1,Full,2016,Full Modernization,Cardozo HS (9-12),-77.031615,38.941504,4,Powell Elementary
NA,DCPS,4600 Livingston Rd SE,NA,NA,348700,700,0,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002007456,0,NA,NA,Stabilized,NA,-77.0031886,38.8239325,8,PR Harris
316,DCPS,1650 30th St  SE,450,ES,72476,21543183,0,8391223,Sousa MS,360,3,228,49,0.633333333,0.136111111,0.008333333,201,47873.74,297.2457503,1,Full,2002,Full Replacement,Anacostia HS,-76.9638892,38.870144,7,Randle Highlands Elementary
302,DCPS,915 Spring Rd  NW,615,ES/MS,73600,0,19567000,19567000,,581,245,308,96,0.530120482,0.165232358,0.421686747,127,0,0,1,Phase 0,NA,Stabilized,Roosevelt HS,-77.0261699,38.9359279,4,Raymond Education Campus
NA,DCPS,1000 1st St NW,NA,NA,143700,1446215,0,1446215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.06412665,0,NA,NA,Demolished,NA,-77.0121753,38.9025237,6,RH Terrell
NA,DCPS,420 34th St NE,180,SPED,77707,32133707,-2200000,35717175,NA,NA,NA,NA,NA,NA,NA,NA,NA,178520.5944,413.5239682,1,Full,2015,Full Modernization,NA,-76.9575223,38.8949506,7,River Terrace Special Education Center
459,DCPS,4301 13th St NW,1030,HS,331840,117015598,1887406,143557836,,476,143,394,141,0.827731092,0.296218487,0.300420168,697,113607.3767,352.626561,1,Full,2016,Full Modernization,Roosevelt HS,-77.0278294,38.9433952,4,Roosevelt High
456,DCPS,4301 13th St NW,NA,ADULT,NA,0,1887406,NA,,802,11,0,49,0,0.061097257,0.013715711,697,NA,NA,1,Full,2015,NA,City-Wide,-77.0278294,38.9433952,4,Roosevelt STAY
305,DCPS,1730 R St  NW,176,ES,22400,2604666,0,2612974,Cardozo EC (6-8),166,28,10,5,0.060240964,0.030120482,0.168674699,135,14799.23864,116.2797321,1,Phase I,2012,Partial Modernization,Cardozo HS (9-12),-77.039739,38.9123701,2,Ross Elementary
307,DCPS,2400 Shannon Pl SE,430,ES,86800,34338372,0,34338372,Kramer MS,408,4,333,51,0.816176471,0.125,0.009803922,213,79856.67907,395.6033641,1,Full,2009,Full Modernization,Anacostia HS,-76.9936331,38.8628014,8,Savoy Elementary
409,DCPS,2425 N St  NW,437,ES/MS,95088,1314689,20178000,22278000,,414,25,109,58,0.263285024,0.140096618,0.060386473,230,3008.441648,13.82602431,1,Phase 0,NA,Stabilized,Cardozo HS (9-12),-77.0521452,38.9076351,2,Francis Stevens
175,DCPS,920 F STREET NE,450,ES,59200,1365487,12028931,16383000,NA,126,1,70,37,0.555555556,0.293650794,0.007936508,470,3034.415556,23.06565878,1,Phase I,2005,Partial Modernization,City-Wide,-76.9931808,38.8976365,6,School-Within-School at Goding
309,DCPS,1503 10th St  NW,325,ES,65000,4298925,0,4302057,Cardozo EC (6-8),295,125,148,32,0.501694915,0.108474576,0.423728814,220,13227.46154,66.13730769,1,Phase I,2011,Partial Modernization,Cardozo HS (9-12),-77.0252248,38.9106173,6,Seaton Elementary
NA,DCPS,925 Rhode Island Ave NW,NA,NA,230400,10000,0,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043402778,0,NA,NA,Stabilized,NA,-77.025191,38.9120219,6,Shaw
315,DCPS,401 Mississippi Ave  SE,325,ES,66192,8505311,0,8672620,Hart MS,293,2,227,38,0.774744027,0.129692833,0.006825939,226,26170.18769,128.4945462,1,Phase I,2012,Partial Modernization,Ballou HS,-77.0000152,38.8359119,8,Simon Elementary
322,DCPS,4400 Brooks St  NE,344,ES,43000,152322,12679000,12831322,Kelly Miller MS,275,6,203,30,0.738181818,0.109090909,0.021818182,156,442.7965116,3.542372093,1,Phase 0,NA,Stabilized,Woodson HS,-76.9384696,38.8936613,7,Smothers Elementary
427,DCPS,3650 Ely Pl SE,636,MS,136000,34545250,0,NA,NA,284,0,209,82,0.735915493,0.288732394,0,479,54316.43082,254.0091912,1,Full,2008,Full Modernization,Anacostia HS,-76.953055,38.8840586,7,Sousa Middle
319,DCPS,2701 Naylor Rd  SE,586,ES,95000,23307939,2165644,36035000,Kramer MS,578,0,502,94,0.868512111,0.162629758,0,164,39774.63993,245.3467263,1,Full,2016,Full Modernization,Anacostia HS,-76.9686199,38.8592905,8,Stanton Elementary
321,DCPS,4001 Calvert St  NW,320,ES,65200,34319480,0,34319480,Hardy MS,418,72,18,15,0.043062201,0.035885167,0.172248804,156,107248.375,526.3723926,1,Full,2010,Full Modernization,Wilson HS,-77.078913,38.922673,3,Stoddert Elementary
428,DCPS,410 E St  NE,450,MS,115242,44653267,1190116,47666762,,423,3,143,83,0.338061466,0.196217494,0.007092199,272,99229.48222,387.4738984,1,Full,2015,Full Modernization,Eastern HS,-77.0000602,38.8965658,6,Stuart-Hobson Middle
324,DCPS,7010 Piney Branch Rd  NW,450,ES/MS,118992,26979598,0,27036559,,442,113,189,70,0.42760181,0.158371041,0.255656109,269,59954.66222,226.7345536,1,Full,2012,Full Modernization,Coolidge HS,-77.022757,38.975217,4,Takoma Education Campus
325,DCPS,650 Anacostia Ave NE,474,ES,87600,7563320,0,7572071,Kelly Miller MS,408,6,295,44,0.723039216,0.107843137,0.014705882,215,15956.37131,86.33926941,1,Phase I,2013,Partial Modernization,Woodson HS,-76.952024,38.901224,7,Thomas Elementary
326,DCPS,1200 L St  NW,320,ES,74992,25521091,0,25521091,Jefferson Acad. MS,272,141,124,40,0.455882353,0.147058824,0.518382353,276,79753.40938,340.3175139,1,Full,2006,Full Modernization,Eastern HS,-77.028505,38.9033859,2,Thomson Elementary
327,DCPS,800 Ingraham St  NW,542,ES/MS,69600,4465045,7489000,11954045,,526,239,290,104,0.551330798,0.197718631,0.454372624,132,8238.090406,64.1529454,1,Phase I,2011,Partial Modernization,Roosevelt HS,-77.0244158,38.9539256,4,Truesdell Education Campus
328,DCPS,3101 13th St  NW,500,ES,66592,3644743,0,3644743,Col. Hts. EC (6-8),498,167,302,69,0.606425703,0.138554217,0.335341365,134,7289.486,54.73244534,1,Phase I,2009,Partial Modernization,Cardozo HS (9-12),-77.0297009,38.9286359,1,Tubman Elementary
329,DCPS,3264 Stanton Rd SE,530,ES,101093,27580545,0,27695424,Johnson MS,392,0,333,52,0.849489796,0.132653061,0,258,52038.76415,272.8234893,1,Full,2013,Full Modernization,Ballou HS,-76.9804398,38.8473486,8,Turner Elementary
